Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BOOT1","BOOT","SW_SPST_TL3342",-44.510000,-36.550000,-90.000000,bottom
"C1","10u","C_0805_2012Metric",-19.120000,-18.800000,180.000000,bottom
"C2","22pf","C_0805_2012Metric",-27.450000,-57.670000,45.000000,bottom
"C3","22pf","C_0805_2012Metric",-22.830000,-53.050000,-135.000000,bottom
"C4","10u","C_0805_2012Metric",-21.590000,-30.750000,180.000000,bottom
"C5","100n","C_0805_2012Metric",-48.240000,-43.690000,90.000000,bottom
"C6","100n","C_0805_2012Metric",-23.190000,-58.770000,45.000000,bottom
"C7","100n","C_0805_2012Metric",-20.060000,-55.580000,45.000000,bottom
"C8","1u","C_0805_2012Metric",-19.690000,-49.960000,-135.000000,bottom
"C9","100n","C_0805_2012Metric",-18.780000,-35.540000,90.000000,bottom
"C10","1u","C_0805_2012Metric",-28.520000,-40.080000,45.000000,bottom
"C11","100n","C_0805_2012Metric",-16.700000,-35.550000,90.000000,bottom
"C12","100n","C_0805_2012Metric",-14.610000,-35.540000,90.000000,bottom
"C13","100n","C_0805_2012Metric",-10.470000,-35.540000,90.000000,bottom
"C14","100n","C_0805_2012Metric",-12.540000,-35.540000,90.000000,bottom
"C17","10u","C_0805_2012Metric",-21.590000,-32.780000,180.000000,bottom
"D1","BAV70","SOT-23",-128.560000,-41.850000,-70.000000,bottom
"D2","BAV70","SOT-23",-139.435000,-31.924750,90.000000,bottom
"D3","BAV70","SOT-23",-144.240000,-50.140000,120.000000,bottom
"D4","BAV70","SOT-23",-144.180000,-55.440000,135.000000,bottom
"D5","BAV70","SOT-23",-19.470000,-74.900000,90.000000,bottom
"D6","BAV70","SOT-23",-132.290000,-40.850000,-80.000000,bottom
"D7","BAV70","SOT-23",-135.845000,-31.924750,90.000000,bottom
"D8","BAV70","SOT-23",-140.320000,-51.540000,100.000000,bottom
"D9","BAV70","SOT-23",-140.310000,-59.290000,-45.000000,bottom
"D10","BAV70","SOT-23",-23.110000,-74.900000,90.000000,bottom
"D11","BAV70","SOT-23",-145.080000,-42.470000,-135.000000,bottom
"D12","BAV70","SOT-23",-137.765000,-61.844750,-45.000000,bottom
"D13","BAV70","SOT-23",-129.325000,-31.930000,90.000000,bottom
"D14","BAV70","SOT-23",-136.430000,-51.860000,90.000000,bottom
"D15","BAV70","SOT-23",-147.650000,-52.910000,90.000000,bottom
"D16","BAV70","SOT-23",-147.640000,-38.530000,-90.000000,bottom
"D17","BAV70","SOT-23",-147.630000,-47.620000,90.000000,bottom
"D18","BAV70","SOT-23",-145.905000,-31.874750,0.000000,bottom
"D19","BAV70","SOT-23",-155.885000,-31.934750,90.000000,bottom
"D20","BAV70","SOT-23",-165.965000,-31.934750,90.000000,bottom
"D21","BAV70","SOT-23",-157.505000,-61.834750,-135.000000,bottom
"D22","BAV70","SOT-23",-158.780000,-51.860000,90.000000,bottom
"D23","BAV70","SOT-23",-154.940000,-51.540000,80.000000,bottom
"D24","BAV70","SOT-23",-159.465000,-31.934750,90.000000,bottom
"D25","BAV70","SOT-23",-154.940000,-59.290000,-135.000000,bottom
"D26","BAV70","SOT-23",-149.425000,-31.874750,180.000000,bottom
"D27","BAV70","SOT-23",-257.750000,-75.010000,90.000000,bottom
"D28","BAV70","SOT-23",-151.070000,-50.140000,60.000000,bottom
"D29","BAV70","SOT-23",-166.810000,-41.850000,-110.000000,bottom
"D30","BAV70","SOT-23",-151.180000,-55.440000,45.000000,bottom
"D31","BAV70","SOT-23",-150.210000,-42.440000,-45.000000,bottom
"D32","BAV70","SOT-23",-261.420000,-75.010000,90.000000,bottom
"D33","BAV70","SOT-23",-162.990000,-40.850000,-100.000000,bottom
"D34","BAV70","SOT-23",-26.730000,-74.890000,90.000000,bottom
"F0","polyfuse","Fuse_1206_3216Metric",-16.589287,-14.790061,-90.000000,bottom
"G***","LOGO","oshw",-147.555000,-72.664750,180.000000,bottom
"J0","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",-18.579287,-3.040061,0.000000,bottom
"J1","BREAKOUT","PinSocket_1x05_P2.54mm_Vertical",-5.960000,-39.590000,0.000000,bottom
"J2","ai03_ud","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",-34.585000,-17.854750,-90.000000,bottom
"J4","Conn_01x01_Male","PinSocket_1x01_P1.27mm_Vertical",-21.700000,-57.110000,45.000000,bottom
"LED2","WS2812B","LED_WS2812B-PLCC4",-38.100000,-10.000000,-90.000000,bottom
"LED3","WS2812B","LED_WS2812B-PLCC4",-95.250000,-10.000000,-90.000000,bottom
"LED5","WS2812B","LED_WS2812B-PLCC4",-42.970000,-69.020000,90.000000,bottom
"LED6","WS2812B","LED_WS2812B-PLCC4",-190.500000,-10.000000,-90.000000,bottom
"LED7","WS2812B","LED_WS2812B-PLCC4",-247.650000,-10.010000,-90.000000,bottom
